episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,env_reward,is_twap,executed_qty,forced_qty,step_is,leftover_penalty
1,9,10,0.0,10,1005.5813000883637,1005.8350219726562,-0.2537218842925313,-0.2537218842925313,0,1.0,0.0,0.2537218842925313,0.0
2,0,1,929.0,1,1003.4468565625,1003.625,-12.648184062500832,-12.648184062500832,0,71.0,0.0,12.648184062500832,0.0
2,1,2,863.0,1,1003.44158753125,1003.625,-12.105222937501367,-12.105222937501367,0,66.0,0.0,12.105222937501367,0.0
2,2,3,308.0,9,1002.19809615625,1003.625,-791.9316332812406,-791.9316332812406,0,555.0,0.0,791.9316332812406,0.0
2,3,4,88.0,10,1002.899379125,1003.625,-159.63659250000092,-159.63659250000092,0,220.0,0.0,159.63659250000092,0.0
2,4,5,13.0,12,1003.2079938125,1003.625,-31.27546406249735,-31.27546406249735,0,75.0,0.0,31.27546406249735,0.0
2,5,6,5.0,9,1003.3572830312501,1003.625,-2.141735749999498,-2.141735749999498,0,8.0,0.0,2.141735749999498,0.0
2,6,7,3.0,5,1003.3703301562499,1003.625,-0.5093396875001872,-0.5093396875001872,0,2.0,0.0,0.5093396875001872,0.0
2,7,8,0.0,12,1003.3673192812499,1003.625,-0.7730421562501988,-0.7730421562501988,0,3.0,0.0,0.7730421562501988,0.0
3,0,1,143.0,12,1003.7299011322021,1005.885009765625,-1846.9280988433875,-1846.9280988433875,0,857.0,0.0,1846.9280988433875,0.0
3,1,2,51.0,9,1005.4381453500366,1005.885009765625,-41.111526234130906,-41.111526234130906,0,92.0,0.0,41.111526234130906,0.0
3,2,3,25.0,7,1005.5809810214234,1005.885009765625,-7.904747349240552,-7.904747349240552,0,26.0,0.0,7.904747349240552,0.0
3,3,4,5.0,11,1005.5895310440063,1005.885009765625,-5.909574432373574,-5.909574432373574,0,20.0,0.0,5.909574432373574,0.0
3,4,5,2.0,9,1005.6272517318725,1005.885009765625,-0.773274101257357,-0.773274101257357,0,3.0,0.0,0.773274101257357,0.0
3,5,6,1.0,1,1005.631526743164,1005.885009765625,-0.253483022460955,-0.253483022460955,0,1.0,0.0,0.253483022460955,0.0
3,6,7,0.0,2,1005.6312752719117,1005.885009765625,-0.2537344937132957,-0.2537344937132957,0,1.0,0.0,0.2537344937132957,0.0
4,0,1,857.0,2,999.4475623908996,999.8049926757812,-51.11253073807109,-51.11253073807109,0,143.0,0.0,51.11253073807109,0.0
4,1,2,490.0,6,998.861928790329,999.8150024414062,-349.7780299453549,-346.1044459609799,0,367.0,0.0,349.7780299453549,0.0
4,2,3,140.0,10,998.85262585083,999.85498046875,-350.8241162719969,-333.3283887329344,0,350.0,0.0,350.8241162719969,0.0
4,3,4,60.0,8,999.400079215393,999.8150024414062,-33.19385808105835,-32.39307683105835,0,80.0,0.0,33.19385808105835,0.0
4,4,5,0.0,14,999.4600303894043,999.844970703125,-23.096418823240583,-20.697737182615583,0,60.0,0.0,23.096418823240583,0.0
5,0,1,643.0,5,1004.8373668771362,1005.7349853515625,-320.4497953701823,-320.4497953701823,0,357.0,0.0,320.4497953701823,0.0
5,1,2,230.0,9,1004.6068021317443,1005.7349853515625,-465.9396697849155,-465.9396697849155,0,413.0,0.0,465.9396697849155,0.0
5,2,3,33.0,12,1005.0460568865966,1005.7349853515625,-135.71890759828182,-135.71890759828182,0,197.0,0.0,135.71890759828182,0.0
5,3,4,2.0,13,1005.413904457489,1005.7349853515625,-9.953507716277727,-9.953507716277727,0,31.0,0.0,9.953507716277727,0.0
5,4,5,1.0,4,1005.4815401352539,1005.7349853515625,-0.2534452163085916,-0.2534452163085916,0,1.0,0.0,0.2534452163085916,0.0
