episode,episode_reward,episode_is,episode_env_reward,episode_hold_penalty,episode_leftover_penalty,completed,mean_loss,epsilon,steps,strategy,is_twap
25,-58.108316184181774,58.108316184181774,-58.108316184181774,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
26,-59.51202918120323,50.87240494635158,-50.87240494635158,8.639624234851654,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
27,-76.68446531183989,70.09913692365062,-70.09913692365062,6.585328388189242,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
28,-89.40851564162321,81.64314241835332,-81.64314241835332,7.765373223269879,0.0,1,0.0,1.0,4,dqn2_is_aligned,0
29,-83.18207494731189,79.75942640156495,-79.75942640156495,3.422648545746956,0.0,1,0.0,1.0,13,dqn2_is_aligned,0
30,-108.91375761928401,108.91375761928401,-108.91375761928401,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
31,-79.99982417868704,77.99901640095186,-77.99901640095186,2.000807777735173,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
32,-63.544197650548774,45.62728110710722,-45.62728110710722,17.916916543441562,0.0,1,0.0,1.0,12,dqn2_is_aligned,0
33,-65.7313086968827,65.7313086968827,-65.7313086968827,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
34,-63.219714889889644,63.219714889889644,-63.219714889889644,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
35,-76.69813134476145,65.68574890003065,-65.68574890003065,11.012382444730807,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
36,-65.89662245496527,53.90716198382961,-53.90716198382961,11.989460471135663,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
37,-62.484959347087326,58.48299883042074,-58.48299883042074,4.001960516666585,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
38,-59.338119511402,59.338119511402,-59.338119511402,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
39,-51.45765401929138,49.45846737751225,-49.45846737751225,1.9991866417791357,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
40,-136.72199105463534,136.72199105463534,-136.72199105463534,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
41,-102.39132560565878,102.39132560565878,-102.39132560565878,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
42,-70.75025815281414,65.3883377685996,-65.3883377685996,5.36192038421455,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
43,-55.983508629071885,49.873380155514326,-49.873380155514326,6.110128473557554,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
44,-127.46658219004559,127.46658219004559,-127.46658219004559,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
45,-60.47197591170192,46.5933052912529,-46.5933052912529,13.878670620449007,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
46,-66.02510639699943,66.02510639699943,-66.02510639699943,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
47,-81.43642233427649,71.77841957409402,-71.77841957409402,9.65800276018248,0.0,1,16.6117738087972,0.99943,8,dqn2_is_aligned,0
