episode,episode_reward,episode_is,episode_env_reward,episode_hold_penalty,episode_leftover_penalty,completed,mean_loss,epsilon,steps,strategy,is_twap
15,-15.782834717427363,15.782834717427363,-15.782834717427363,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
16,-19.079974096885582,16.080235051830982,-16.080235051830982,2.9997390450546004,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
17,-19.308316420601336,16.313549876322497,-16.313549876322497,2.9947665442788387,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
18,-19.288067379349627,19.288067379349627,-19.288067379349627,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
19,-19.08586843705251,19.08586843705251,-19.08586843705251,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
20,-16.707660351393372,16.707660351393372,-16.707660351393372,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
21,-14.835607752530677,14.835607752530677,-14.835607752530677,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
22,-23.863812433228233,14.866042500464971,-14.866042500464971,8.99776993276326,0.0,1,0.0,1.0,4,dqn2_is_aligned,0
23,-14.514662789231636,14.514662789231636,-14.514662789231636,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
24,-15.885860997855161,15.885860997855161,-15.885860997855161,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
25,-14.830840001721413,14.830840001721413,-14.830840001721413,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
26,-13.99490083715449,13.99490083715449,-13.99490083715449,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
27,-14.138699870130722,14.138699870130722,-14.138699870130722,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
28,-15.83793175546333,15.83793175546333,-15.83793175546333,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
29,-14.035273498222978,14.035273498222978,-14.035273498222978,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
30,-29.81807561653285,14.847642537048955,-14.847642537048955,14.970433079483898,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
31,-15.849291769200136,15.849291769200136,-15.849291769200136,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
32,-17.601000748769277,14.600177299108452,-14.600177299108452,3.0008234496608237,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
33,-16.077151707939663,16.077151707939663,-16.077151707939663,0.0,0.0,1,9.331270217895508,0.9996833333333334,1,dqn2_is_aligned,0
34,-14.707697307215994,14.707697307215994,-14.707697307215994,0.0,0.0,1,9.481571197509766,0.9993666666666666,1,dqn2_is_aligned,0
35,-15.400218661568488,15.400218661568488,-15.400218661568488,0.0,0.0,1,9.436245918273926,0.99905,1,dqn2_is_aligned,0
36,-18.074904351257572,15.077539233473658,-15.077539233473658,2.997365117783916,0.0,1,9.261689186096191,0.9984166666666666,2,dqn2_is_aligned,0
37,-27.431628590488355,15.425747040488602,-15.425747040488602,12.005881549999753,0.0,1,8.940384483337402,0.9968333333333333,5,dqn2_is_aligned,0
38,-16.030816632735423,16.030816632735423,-16.030816632735423,0.0,0.0,1,8.561691284179688,0.9965166666666667,1,dqn2_is_aligned,0
39,-16.117651240437265,13.118871277768562,-13.118871277768562,2.9987799626687033,0.0,1,8.925457000732422,0.9958833333333333,2,dqn2_is_aligned,0
40,-23.161020399097033,14.186665631285678,-14.186665631285678,8.974354767811354,0.0,1,8.438308119773865,0.9946166666666667,4,dqn2_is_aligned,0
41,-17.819284407941893,17.819284407941893,-17.819284407941893,0.0,0.0,1,9.508620262145996,0.9943,1,dqn2_is_aligned,0
42,-18.11864000731589,18.11864000731589,-18.11864000731589,0.0,0.0,1,8.343648910522461,0.9939833333333333,1,dqn2_is_aligned,0
43,-17.312868599333342,17.312868599333342,-17.312868599333342,0.0,0.0,1,8.050148963928223,0.9936666666666667,1,dqn2_is_aligned,0
44,-16.61013887574396,13.609777729165273,-13.609777729165273,3.0003611465786855,0.0,1,8.468315124511719,0.9930333333333333,2,dqn2_is_aligned,0
45,-22.67518383204488,16.675758491793147,-16.675758491793147,5.999425340251733,0.0,1,8.27001667022705,0.9920833333333333,3,dqn2_is_aligned,0
46,-16.338918093353527,16.338918093353527,-16.338918093353527,0.0,0.0,1,8.520631790161133,0.9917666666666667,1,dqn2_is_aligned,0
