episode,episode_reward,episode_is,episode_env_reward,episode_hold_penalty,episode_leftover_penalty,completed,mean_loss,epsilon,steps,strategy,is_twap
18,-1840.1131139365402,1509.8579781333174,-1509.8279488364424,330.2551358032226,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
19,-2627.7164554251103,1696.1928405569465,-1696.1928405569465,931.5236148681641,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
20,-2032.0863698376015,1112.6981496227577,-1110.3382253063514,919.3882202148437,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
21,-1831.6996362780442,1078.36669139279,-1078.36669139279,753.3329448852537,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
22,-3097.528682015941,885.0988066497299,-882.2590849700424,2212.429875366211,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
23,-1933.9574483445026,947.1400409348348,-964.5868182785848,986.817407409668,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
24,-2509.6624755858556,2509.6624755858556,-2509.6624755858556,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
25,-2545.9136406746056,987.6428983650352,-987.5027616462852,1558.2707423095699,0.0,1,0.0,1.0,16,dqn2_is_aligned,0
26,-2557.3739866386986,834.1217067314717,-833.4910914970967,1723.2522799072265,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
27,-2501.83746337882,2501.83746337882,-2501.83746337882,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
28,-2244.2686940695853,1530.1508997580618,-1601.5334681174368,714.1177943115234,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
29,-2141.4727463070003,1373.9444269100275,-1375.9833063045587,767.5283193969726,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
30,-2273.328997036633,816.9758576933707,-818.1354035918082,1456.3531393432615,0.0,1,0.0,1.0,13,dqn2_is_aligned,0
31,-3244.7520131602473,689.4366657481374,-677.4666950450124,2555.3153474121095,0.0,1,0.0,1.0,16,dqn2_is_aligned,0
32,-2020.5096328664813,1403.9358323904073,-1421.5505784841573,616.5738004760743,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
33,-3091.0844508583405,1055.1042758095134,-1060.4494906532634,2035.9801750488282,0.0,1,0.0,1.0,13,dqn2_is_aligned,0
34,-2821.976758265919,993.4232815813488,-994.7445706438488,1828.5534766845703,0.0,1,0.0,1.0,16,dqn2_is_aligned,0
35,-1945.7767580702002,1197.4588672010593,-1189.7626391737156,748.3178908691406,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
36,-2005.760323828546,1642.3756694096005,-1642.3756694096005,363.38465441894533,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
37,-2496.493078531088,1627.494861734213,-1627.494861734213,868.998216796875,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
38,-1867.2792781115227,1469.8125050402336,-1469.8125050402336,397.466773071289,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
39,-1814.6776889285209,1025.6790970095756,-1025.6790970095756,788.9985919189453,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
40,-2152.4393949191012,1896.3152386691013,-1897.2186200167575,256.12415625,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
41,-2553.9248217595577,605.5582705510615,-600.578412152624,1948.3665512084963,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
42,-2246.0394515737216,1531.400407628409,-1531.400407628409,714.6390439453124,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
43,-2182.4762705125836,1373.7045324754745,-1375.6132849168807,808.7717380371093,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
44,-1793.860828851902,1304.2723864690895,-1304.2823962347145,489.5884423828125,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
45,-2136.152120081324,911.4302907356204,-928.3131032356204,1224.721829345703,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
46,-2514.662475585851,2514.662475585851,-2514.662475585851,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
